Title,Experience,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site,Amount,Currency,Amount_EGP,category,Experience Years
Backend Developer,3,50000,7/18/2025 0:00,Egyption,Hybird,Full Time,Cairo,50000,EGP,50000,Backend,3
Backend Developer,5,60000,7/16/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,Jordan ,60000,EGP,60000,Backend,5
Backend Developer,5,80000,7/1/2025 0:00,Egyption,Hybird,Full Time,Cairo,80000,EGP,80000,Backend,5
Backend Developer - Php Laravel,1,25000 EGP,2/16/2025 0:00,Egyption,Hybird,Full Time,Cairo,25000,EGP,25000,Backend,1
Backend Developer (Django+Nestjs),2,200$,7/19/2025 0:00,Egyption,Remotley,Full Time,Cairo,200,USD,9708,Backend,2
Backend Developer Php Laravel,1.5,20000,1/1/2020 0:00,Egyption,Hybird,Full Time,,20000,EGP,20000,Backend,1.5
Backend Developer Php/Laravel,1.5,13500,7/1/2025 0:00,Egyption,Hybird,Full Time,"Digla, Maadi",13500,EGP,13500,Backend,1.5
Backend Engineer,2,45000,1/1/2025 0:00,Egyption,On Site,Full Time,Giza,45000,EGP,45000,Backend,2
Backend Engineer,2,45000,1/1/2025 0:00,Egyption,On Site,Full Time,Giza,45000,EGP,45000,Backend,2
Backend Engineer,4,80000,3/5/2025 0:00,Egyption,Hybird,Part Time,Cairo ,80000,EGP,80000,Backend,4
Backend Engineer,5,2200 USD,8/7/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,KSA,2200,USD,106788,Backend,5
Backend Engineer,9,3500 USD,7/1/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,,3500,USD,169890,Backend,9
Backend Engineer Node.Js,2,20000,3/2/2025 0:00,Egyption,Hybird,Full Time,Cairo,20000,EGP,20000,Backend,2
Backend Node.Js Developer,1,20k,7/17/2025 0:00,Egyption,Hybird,Full Time,Cairo,20000,EGP,20000,Backend,1
Backend Software Engineer,3,80000,2/28/2025 0:00,Egyption,Hybird,Full Time,Cairo,80000,EGP,80000,Backend,3
Backend Software Engineer,4,"40,000 EGP",7/17/2025 0:00,Egyption,Hybird,Full Time,Cairo,40000,EGP,40000,Backend,4
Backend Web Deceloper,1,31000,1/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,"Cairo, Dubai",31000,EGP,31000,Backend,1
Bi & Data Engineer Specialist,6,50k,1/1/2025 0:00,Egyption,Remotley,Full Time,Cairo,50000,EGP,50000,Analyst,6
Bi Analyst,2,27000,7/18/2025 0:00,Egyption,Hybird,Full Time,Cairo ,27000,EGP,27000,Analyst,2
Bi Analyst,4,23000,7/28/2025 0:00,Not Egyption but site in egypt,Remotley,Full Time,Cairo,23000,EGP,23000,Analyst,4
Bi Engineer,2,32000,6/28/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,,32000,EGP,32000,Analyst,2
Bi Engineer,4,51678,6/26/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo,51678,EGP,51678,Analyst,4
Bi Engineer,5,38000,6/1/2025 0:00,Egyption,Remotley,Full Time,Cairo ,38000,EGP,38000,Analyst,5
Bigdata Engineer,1,30000,8/3/2025 0:00,Egyption,Hybird,Full Time,cairo,30000,EGP,30000,Analyst,1
Billing Analyst,6,24400,7/27/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Egypt;UK;Germany;India;Hungarian;Romania;Turkey,24400,EGP,24400,Analyst,6
Bioinformatics Engineer,3,13000,8/2/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo AUC,13000,EGP,13000,Analyst,3
Biomedical Engineer,3,23000,8/1/2025 0:00,Not Egyption but site in egypt,On Site,Full Time,"Cairo, Head office in Riyadh ",23000,EGP,23000,Analyst,3
Broadcast Engineer,0 (3 months),12000,7/20/2025 0:00,Egyption,On Site,Full Time,Cairo,12000,EGP,12000,IT,0
Business Analyst,1.5,25000,7/17/2025 0:00,Egyption,Remotley,Full Time,Riyadh ,25000,EGP,25000,Analyst,1.5
